name,F,M,source
'true,2,1,UK
a,0,115,UK
a'ala,1,0,UK
a'fif,0,1,UK
a'idah,4,0,UK
a'isha,108,0,UK
a'ishah,89,0,UK
a'jay,1,1,UK
a'lelia,1,0,UK
a'niyah,3,0,UK
a'yeisha-casey,1,0,UK
a-j,0,2,UK
a-jai,1,1,UK
a-jay,0,138,UK
a-lan,0,1,UK
a-leah,1,0,UK
a-si,2,0,UK
a.j.,0,6,UK
aa'isha,6,0,UK
aa'ishah,18,0,UK
aaban,0,122,UK
aabas,0,1,UK
aabdaa,1,0,UK
aabeer,1,0,UK
aabel,0,2,UK
aabha,1,0,UK
aabia,1,0,UK
aabid,0,43,UK
aabidah,7,0,UK
aabidammar,0,1,UK
aabirha,1,0,UK
aabish,3,0,UK
aabiyah,1,0,UK
aaciya,1,0,UK
aadal,0,1,UK
aadam,0,2029,UK
aadan,0,3,UK
aadarsh,0,18,UK
aadell,0,1,UK
aaden,2,52,UK
aadesh,0,4,UK
aadham,0,13,UK
aadhan,0,1,UK
aadhav,0,26,UK
aadheen,0,3,UK
aadhi,0,4,UK
aadhidev,0,3,UK
aadhil,0,3,UK
aadhira,18,0,UK
aadhiran,0,3,UK
aadhish,0,1,UK
aadhith,0,1,UK
aadhithya,0,6,UK
aadhrith,0,1,UK
aadhvik,0,11,UK
aadhya,230,0,UK
aadhyaa,1,0,UK
aadi,0,187,UK
aadia,1,0,UK
aadidev,0,3,UK
aadil,0,618,UK
aadila,5,0,UK
aadilah,3,0,UK
aadira,4,0,UK
aadirath,0,1,UK
aadishiv,0,1,UK
aadit,0,69,UK
aadita,2,0,UK
aadith,0,5,UK
aaditiya,0,1,UK
aaditri,9,0,UK
aaditya,0,139,UK
aadityaram,0,1,UK
aadm,0,1,UK
aadrian,0,1,UK
aadrika,1,0,UK
aadrith,0,1,UK
aadriyan,0,2,UK
aadvik,0,65,UK
aadvika,6,0,UK
aadya,203,7,UK
aadyan,0,1,UK
aadyanth,0,1,UK
aadyasri,1,0,UK
aadyn,0,3,UK
aaeedah,1,0,UK
aaeesha,26,0,UK
aaella,1,0,UK
aaeryn,0,1,UK
aaeryn-leigh,1,0,UK
aafan,0,1,UK
aafeen,1,0,UK
aafi,0,1,UK
aafia,88,0,UK
aafiq,0,1,UK
aafiya,73,0,UK
aafiyah,135,0,UK
aafreen,71,0,UK
aafrin,9,0,UK
aaftab,0,2,UK
aagat,0,1,UK
aagin,0,1,UK
aagman,0,1,UK
aagya,6,0,UK
aahaan,0,13,UK
aahad,0,23,UK
aahan,0,64,UK
aahana,106,0,UK
aahid,0,10,UK
aahil,0,899,UK
aahiluddin,0,1,UK
aahliyah,1,0,UK
aahna,20,0,UK
aahron,0,3,UK
aahyan,0,1,UK
aaicha,1,0,UK
aaida,2,0,UK
aaidah,11,0,UK
aaiden,0,5,UK
aaila,190,0,UK
aailah,6,0,UK
aailyah,5,0,UK
aaima,187,0,UK
aaina,10,0,UK
aaira,287,0,UK
aairah,303,0,UK
aairan,0,1,UK
aaisha,714,0,UK
aaishah,294,0,UK
aaishwarya,1,0,UK
aaiva,3,0,UK
aaiyana,2,0,UK
aaiyasha,1,0,UK
aaiylah,1,0,UK
aaiz,0,3,UK
aaiza,95,0,UK
aaizafatima,1,0,UK
aaizah,42,0,UK
aajay,0,3,UK
aakanksh,0,2,UK
aakanksha,1,0,UK
aakarsh,0,4,UK
aakash,0,118,UK
aakif,0,18,UK
aakifa,18,0,UK
aakifah,170,0,UK
aakin,0,1,UK
aakriti,5,0,UK
aakruti,1,0,UK
aaksaa,1,0,UK
aala,62,0,UK
aala'a,1,0,UK
aalaa,23,0,UK
aalaiya,2,0,UK
aalam,0,1,UK
aalana,1,0,UK
aalaya,3,0,UK
aalayah,89,0,UK
aalayha,1,0,UK
aalea,1,0,UK
aaleah,7,0,UK
aaleahia,1,0,UK
aaleen,8,0,UK
aaleeyah,1,0,UK
aaleia,1,0,UK
aaleiah,1,0,UK
aaleigha,14,0,UK
aaleya,5,0,UK
aaleyah,202,0,UK
aalia,418,0,UK
aaliah,176,0,UK
aaliayah,4,0,UK
aalid,1,0,UK
aaliegha,1,0,UK
aalifa,1,0,UK
aaliha,1,0,UK
aalim,0,12,UK
aalimah,38,0,UK
aalin,1,0,UK
aalish,2,0,UK
aalisha,14,0,UK
aalivya,1,0,UK
aaliya,651,0,UK
aaliya-bell,1,0,UK
aaliyaa,2,0,UK
aaliyaan,0,3,UK
aaliyah,9381,0,UK
aaliyah-grace,15,0,UK
aaliyah-jade,4,0,UK
aaliyah-jayne,1,0,UK
aaliyah-jo,1,0,UK
